Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh),Generator Fuel Consumption (liters),Generator Efficiency (kWh/liter),Generator Load Factor (%)
1,10.0809384,0.0,0.0,0.0,0.0,6.299903378476427,0.0,10.0809384,3.2920495699139263,3.0622073531728673,87.01891424241197
2,10.57792847,0.0,0.0,0.0,0.0,6.299903378476427,0.0,10.57792847,3.415572857156445,3.096970526579956,91.30894504754615
3,11.02046612,0.0,0.0,0.0,0.0,6.299903378476427,0.0,11.02046612,3.525562389254298,3.12587465579668,95.12894119139607
4,11.5904331,0.0,0.0,0.0,0.005666169999999582,6.294520516976427,0.0,11.58476693,3.6658152740751477,3.1602156856970196,100.0
5,11.80279685,0.0,0.0,0.0,2.5199613513905708,3.9005572331553853,0.0,9.28283549860943,3.0936868663340436,3.000573716631316,80.12966989064346
6,8.572130617,0.0,0.0,0.0,0.0,3.9005572331553853,0.0,8.572130617,2.917046308433758,2.938633710481823,73.99484744748334
7,7.8269865,0.17014920325079888,0.0,0.0,0.0,3.9005572331553853,0.0,7.6568372967492015,2.6895567738672064,2.8468769914604706,66.09401244768246
8,7.571404583,1.2080593430806719,0.0,0.0,1.4532588229103311,2.5199613513905708,0.0,4.910086417008997,2.0068717095523594,2.4466369193595394,42.38398965363558
9,8.451158767,4.508953886146171,0.0,0.0,0.0,2.5199613513905708,0.0,3.94220488085383,1.7902989640296019,2.2019813227064167,34.02921184926963
10,8.804214033,7.554624624335471,0.0,0.0,0.0,2.5199613513905708,0.0,1.2495894086645283,1.193527395858991,1.0469717016970432,10.786487257059804
11,8.850600367,9.851638868221254,0.0,1.0010385012212542,0.0,3.470947927550762,0.0,0.0,0.9165775533433086,0.0,0.0
12,9.0898205,11.280892175527967,0.0,2.191071675527967,0.0,5.552466019302331,0.0,0.0,0.9165775533433086,0.0,0.0
13,9.008703233,11.52866458439057,0.39879456349042997,2.5199613513905708,0.0,7.946429303123374,0.0,0.0,0.9165775533433086,0.0,0.0
14,9.421566083,10.959219558712462,0.8661500672180598,1.5376534757124611,0.0,9.407200105050212,0.0,0.0,0.9165775533433086,0.0,0.0
15,8.58296715,10.61731028284985,0.0,2.03434313284985,0.0,11.339826081257568,0.0,0.0,0.9165775533433086,0.0,0.0
16,8.2938658,8.235221437338666,0.0,0.0,0.0,11.339826081257568,0.0,0.05864436266133488,0.9295750602770838,0.06308728059448412,0.5062196159464287
17,8.167900967,5.7170132292268425,0.0,0.0,0.0,11.339826081257568,0.0,2.450887737773157,1.4597743572641395,1.678949712725828,21.15612469877421
18,8.374619433,3.4370139056661375,0.0,0.0,0.0,11.339826081257568,0.0,4.9376055273338615,2.0137113853819324,2.451992655540042,42.62153530726113
19,9.3431625,1.2420891837308319,0.0,0.0,0.0,11.339826081257568,0.0,8.101073316269169,2.7999684234251907,2.893273098544146,69.92866896001651
20,13.82217963,0.08507460162539944,0.0,0.0,1.7241840825305212,9.701851202853698,0.4281540158440795,11.58476693,3.6658152740751477,3.1602156856970196,100.0
21,17.90192355,0.0,0.0,0.0,2.5199613513905708,7.307887919032655,3.797195268609428,11.58476693,3.6658152740751477,3.1602156856970196,100.0
22,18.40249893,0.0,0.0,0.0,2.5199613513905708,4.913924635211613,4.297770648609429,11.58476693,3.6658152740751477,3.1602156856970196,100.0
