Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh)
62,9.68060375,8.889032686658792,0.0,0.0,0.0,0.0,0.0,0.7915710633412072
63,8.6331896,8.277752501902889,0.0,0.0,0.0,0.0,0.0,0.3554370980971111
64,8.287869217,7.067927136240159,0.0,0.0,0.0,0.0,0.0,1.219942080759842
65,8.18152345,5.285026597368766,0.0,0.0,0.0,0.0,0.0,2.896496852631234
66,8.194821383,3.0054609083832022,0.0,0.0,0.0,0.0,0.0,5.189360474616798
67,9.56255075,0.8532452578884516,0.0,0.0,0.0,0.0,0.0,8.709305492111548
68,15.38064123,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,1.5864159561365554,13.717815250768957
69,17.94623455,0.0,0.0,0.0,0.0,0.0,4.228419299231042,13.717815250768957
70,17.66224777,0.0,0.0,0.0,0.0,0.0,3.944432519231043,13.717815250768957
71,16.07471115,0.0,0.0,0.0,0.0,0.0,2.3568958992310414,13.717815250768957
72,9.815926883,0.0,0.0,0.0,0.0,0.0,0.0,9.815926883
73,8.084669767,0.0,0.0,0.0,0.0,0.0,0.0,8.084669767
74,10.46913242,0.0,0.0,0.0,0.0,0.0,0.0,10.46913242
75,11.33313275,0.0,0.0,0.0,0.0,0.0,0.0,11.33313275
76,11.70174778,0.0,0.0,0.0,0.0,0.0,0.0,11.70174778
77,10.26792875,0.0,0.0,0.0,0.0,0.0,0.0,10.26792875
78,7.646879867,0.0,0.0,0.0,0.0,0.0,0.0,7.646879867
79,7.330550517,0.12735003849081367,0.0,0.0,0.0,0.0,0.0,7.203200478509186
80,7.965375833,0.8787152655866143,0.0,0.0,0.0,0.0,0.0,7.086660567413386
81,8.454439817,3.3493060123083995,0.0,0.0,0.0,0.0,0.0,5.105133804691601
82,8.57602605,5.6288717012939635,0.0,0.0,0.0,0.0,0.0,2.947154348706036
83,8.890319983,7.360832224769029,0.0,0.0,0.0,0.0,0.0,1.52948775823097
84,8.37630755,8.37630755,0.054264998091865024,0.0,0.0,0.0,0.0,0.0
85,8.945404717,8.914502694356957,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.03090202264304409
86,9.164139183,8.838092671262467,0.0,0.0,0.0,0.0,0.0,0.3260465117375322
87,7.7799643,7.7799643,0.3194981480157484,0.0,0.0,0.0,0.0,0.0
88,8.56955115,6.813227059258531,0.0,0.0,0.0,0.0,0.0,1.7563240907414697
89,8.405867817,5.004856512688977,0.0,0.0,0.0,0.0,0.0,3.401011304311024
90,8.41618545,2.852640862194226,0.0,0.0,0.0,0.0,0.0,5.563544587805774
91,11.6225772,0.9296552809829396,1.1102230246251565e-16,0.0,0.0,0.0,0.0,10.69292191901706
92,15.786373,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,1.9921477261365546,13.717815250768957
93,17.47995582,0.0,0.0,0.0,0.0,0.0,3.7621405692310432,13.717815250768957
94,17.62993208,0.0,0.0,0.0,0.0,0.0,3.912116829231042,13.717815250768957
95,16.23469937,0.0,0.0,0.0,0.0,0.0,2.516884119231044,13.717815250768957
