Solar Production [kWh]
0
0
0
0
0
0
0.01
0.071
0.265
0.444
0.579
0.663
0.701
0.695
0.624
0.484
0.336
0.202
0.073
0.005
0
0
0
0
0
0
0
0
0
0
0.009
0.067
0.262
0.438
0.57
0.654
0.694
0.687
0.616
0.523
0.38
0.219
0.072
0.006
0
0
0
0
0
0
0
0
0
0
0.01
0.069
0.264
0.445
0.58
0.665
0.704
0.698
0.65
0.555
0.415
0.236
0.067
0.006
0
0
0
0
0
0
0
0
0
0
0.01
0.069
0.263
0.442
0.578
0.662
0.7
0.694
0.636
0.535
0.393
0.224
0.073
0.006
0
0
0
0
0
0
0
0
0
0
0.01
0.071
0.255
0.43
0.562
0.642
0.682
0.677
0.624
0.535
0.386
0.223
0.072
0.006
0
0
0
0
0
0
0
0
0
0
0.009
0.064
0.266
0.45
0.585
0.671
0.709
0.704
0.655
0.562
0.422
0.244
0.067
0.005
0
0
0
0
0
0
0
0
0
0
0.008
0.061
0.271
0.46
0.601
0.689
0.73
0.725
0.678
0.582
0.439
0.254
0.063
0.005
0
0
0
0
0
0
0
0
0
0
0.008
0.06
0.276
0.477
0.621
0.713
0.753
0.747
0.695
0.596
0.449
0.26
0.061
0.004
0
0
0
0
0
0
0
0
0
0
0.006
0.055
0.286
0.487
0.633
0.724
0.765
0.758
0.705
0.606
0.458
0.265
0.062
0.004
0
0
0
0
0
0
0
0
0
0
0.006
0.054
0.286
0.485
0.628
0.716
0.754
0.747
0.694
0.594
0.446
0.257
0.067
0.005
0
0
0
0
0
0
0
0
0
0
0.008
0.066
0.262
0.45
0.602
0.701
0.748
0.743
0.694
0.598
0.452
0.263
0.066
0.004
0
0
0
0
0
0
0
0
0
0
0.006
0.053
0.28
0.477
0.619
0.705
0.743
0.737
0.686
0.59
0.446
0.259
0.066
0.004
0
0
0
0
0
0
0
0
0
0
0.006
0.054
0.276
0.468
0.607
0.692
0.73
0.724
0.674
0.579
0.437
0.255
0.067
0.004
0
0
0
0
0
0
0
0
0
0
0.007
0.055
0.27
0.457
0.593
0.678
0.717
0.712
0.663
0.569
0.43
0.25
0.071
0.004
0
0
0
0
0
0
0
0
0
0
0.007
0.058
0.267
0.454
0.589
0.674
0.711
0.705
0.656
0.563
0.425
0.248
0.071
0.004
0
0
0
0
0
0
0
0
0
0
0.007
0.058
0.266
0.452
0.588
0.673
0.711
0.705
0.657
0.564
0.425
0.243
0.073
0.004
0
0
0
0
0
0
0
0
0
0
0.007
0.057
0.267
0.456
0.595
0.683
0.722
0.717
0.668
0.574
0.434
0.255
0.072
0.004
0
0
0
0
0
0
0
0
0
0
0.009
0.07
0.265
0.458
0.605
0.695
0.73
0.706
0.628
0.486
0.318
0.188
0.076
0.004
0
0
0
0
0
0
0
0
0
0
0.005
0.049
0.282
0.48
0.62
0.705
0.74
0.732
0.681
0.584
0.442
0.259
0.07
0.003
0
0
0
0
0
0
0
0
0
0
0.005
0.05
0.273
0.462
0.6
0.686
0.724
0.718
0.668
0.573
0.433
0.253
0.073
0.003
0
0
0
0
0
0
0
0
0
0
0.006
0.052
0.27
0.46
0.599
0.687
0.728
0.724
0.678
0.584
0.442
0.257
0.074
0.003
0
0
0
0
0
0
0
0
0
0
0.006
0.053
0.27
0.46
0.6
0.688
0.727
0.722
0.673
0.578
0.438
0.257
0.074
0.003
0
0
0
0
0
0
0
0
0
0
0.006
0.054
0.27
0.46
0.599
0.687
0.725
0.72
0.672
0.575
0.431
0.253
0.075
0.003
0
0
0
0
0
0
0
0
0
0
0.005
0.054
0.27
0.459
0.595
0.68
0.719
0.715
0.667
0.574
0.434
0.253
0.075
0.002
0
0
0
0
0
0
0
0
0
0
0.006
0.057
0.267
0.454
0.587
0.67
0.707
0.704
0.658
0.564
0.422
0.248
0.077
0.002
0
0
0
0
0
0
0
0
0
0
0.005
0.054
0.268
0.458
0.598
0.687
0.727
0.723
0.676
0.583
0.442
0.261
0.076
0.002
0
0
0
0
0
0
0
0
0
0
0.005
0.052
0.274
0.468
0.61
0.699
0.74
0.736
0.688
0.593
0.45
0.265
0.077
0.002
0
0
0
0
0
0
0
0
0
0
0.005
0.055
0.273
0.466
0.606
0.695
0.737
0.733
0.686
0.592
0.449
0.265
0.078
0.002
0
0
0
0
0
0
0
0
0
0
0.005
0.054
0.277
0.471
0.613
0.702
0.744
0.74
0.693
0.598
